קוד,פריט,משפחת פריט,קבוצת פריט,צורת ניהול מלאי,יחידת מידה,איפיון פריט 06,איפיון חברה,מזהה מדבקה לפריט
GLG-3342-20100001-5L,"תרסיס להסרת ירוקת מכלי שיט בניחוח לימון, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,ימי,גרין גלובל,20090188
GLG-3341-23010001-25L,"תרכיז להסרת ירוקת מכלי שיט בניחוח לימון, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,ימי,גרין גלובל,20090185
GLG-3341-20100001-5L,"תרכיז להסרת ירוקת מכלי שיט בניחוח לימון, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,ימי,גרין גלובל,20090183
GLG-3318-50500000-250ML,"מסיר אבנית למכונות קפה, בקבוק 250 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,250ML,מוסדי,גרין גלובל,20090180
GLG-3318-41300000-500ML,"מסיר אבנית למכונות קפה, בקבוק 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,מוסדי,גרין גלובל,20090178
GLG-3318-23010000-25L,"מסיר אבנית למכונות קפה, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,20090175
GLG-3318-20100000-5L,"מסיר אבנית למכונות קפה, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,20090173
GLG-3316-42310001-750ML,"נוזל ניקוי רב תכליתי לחדרי אמבטיה ושירותים - חזק במיוחד בניחוח לימון, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,מוסדי,גרין גלובל,20090171
GLG-3316-23010001-25L,"נוזל ניקוי רב תכליתי לחדרי אמבטיה ושירותים - חזק במיוחד בניחוח לימון, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,20090168
GLG-3316-20100001-5L,"נוזל ניקוי רב תכליתי לחדרי אמבטיה ושירותים - חזק במיוחד בניחוח לימון, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,20090166
GLG-3315-42310001-750ML,"מסיר אבנית ממקלחונים ומשטחי זכוכית בניחוח לימון, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,מוסדי,גרין גלובל,20090164
GLG-3315-23010001-25L,"מסיר אבנית ממקלחונים ומשטחי זכוכית בניחוח לימון, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,20090161
GLG-3315-20100001-5L,"מסיר אבנית ממקלחונים ומשטחי זכוכית בניחוח לימון, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,20090159
GLG-3314-23010000-25L,"מסיר אבנית למכונות קפה, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,בייתי,גרין גלובל,20090156
GLG-3314-20100000-5L,"מסיר אבנית למכונות קפה, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,בייתי,גרין גלובל,20090154
GLG-3302-23010000-25L,"מסיר אבנית, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,בייתי,גרין גלובל,20090151
GLG-3302-20100000-5L,"מסיר אבנית, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,בייתי,גרין גלובל,20090149
GLG-2102-23010006-25L,"מרכך כביסה מבושם, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,בייתי,גרין גלובל,20090147
GLG-2102-20100006-5L,"מרכך כביסה מבושם, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,בייתי,גרין גלובל,20090145
GLG-2101-20100006-5L,"מרכך כביסה מבושם, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,20090143
GLG-R-DEXTRIN-II-500G,דקסטרין Type II אבקה 500 גרם,חמרי ניקוי,חמרי ניקוי,אצווה,500G,,גרין גלובל,20004801
GLG-R-F127-250G,'פלורוניק F-127 אבקה 250 גרם,חמרי ניקוי,חמרי ניקוי,אצווה,250G,,גרין גלובל,20004755
GLG-R-PECTIN-1KG,"פקטין 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,20004699
GLG-R-ALGINIC-ACID-500G,חומצה אלגינית 500 גרם,חמרי ניקוי,חמרי ניקוי,אצווה,500G,,גרין גלובל,20004640
